央视频道,#genre#
CCTV1-综合,http://60.26.18.23:85/tsfile/live/33/1007.m3u8?key=txiptv
CCTV2-财经,http://60.26.18.23:85/tsfile/live/37/1008.m3u8?key=txiptv
CCTV3-综艺,http://60.26.18.23:85/tsfile/live/41/1009.m3u8?key=txiptv
CCTV4-中文国际,http://60.26.18.23:85/tsfile/live/45/1010.m3u8?key=txiptv
CCTV5-体育,http://60.26.18.23:85/tsfile/live/49/1011.m3u8?key=txiptv
CCTV6-电影,http://60.26.18.23:85/tsfile/live/53/1012.m3u8?key=txiptv
CCTV7-国防军事,http://60.26.18.23:85/tsfile/live/57/1013.m3u8?key=txiptv
CCTV8-电视剧,http://60.26.18.23:85/tsfile/live/61/1014.m3u8?key=txiptv
CCTV9-纪录,http://60.26.18.23:85/tsfile/live/65/1015.m3u8?key=txiptv
CCTV10-科教,http://60.26.18.23:85/tsfile/live/69/1016.m3u8?key=txiptv
CCTV11-戏曲,http://60.26.18.23:85/tsfile/live/73/1017.m3u8?key=txiptv
CCTV12-社会与法,http://60.26.18.23:85/tsfile/live/77/1018.m3u8?key=txiptv
CCTV13-新闻,http://60.26.18.23:85/tsfile/live/81/1019.m3u8?key=txiptv
CCTV14-少儿,http://60.26.18.23:85/tsfile/live/85/1020.m3u8?key=txiptv
CCTV15-音乐,http://60.26.18.23:85/tsfile/live/89/1021.m3u8?key=txiptv
CCTV16-奥林匹克,http://60.26.18.23:85/tsfile/live/93/1022.m3u8?key=txiptv
CCTV17-农业农村,http://60.26.18.23:85/tsfile/live/97/1023.m3u8?key=txiptv
CCTV5+-体育赛事,http://60.26.18.23:85/tsfile/live/101/1024.m3u8?key=txiptv
CCTV4K,http://182.149.148.252:4022/rtp/239.94.0.20:5140
CCTV1,http://182.149.148.252:4022/rtp/239.94.0.1:5140
CCTV1,http://182.149.148.252:4022/rtp/239.94.2.34:5140
CCTV1,http://182.149.148.252:4022/rtp/239.94.1.18:5140
CCTV1,http://182.149.148.252:4022/rtp/239.94.1.151:5140
CCTV1,http://182.149.148.252:4022/rtp/239.94.0.31:5140
CCTV1,http://182.149.148.252:4022/rtp/239.94.2.69:5140
CCTV2,http://182.149.148.252:4022/rtp/239.94.2.70:5140
CCTV2,http://182.149.148.252:4022/rtp/239.94.0.2:5140
CCTV2,http://182.149.148.252:4022/rtp/239.94.2.35:5140
CCTV3,http://182.149.148.252:4022/rtp/239.94.0.32:5140
CCTV3,http://182.149.148.252:4022/rtp/239.94.0.3:5140
CCTV4,http://182.149.148.252:4022/rtp/239.94.0.4:5140
CCTV5,http://182.149.148.252:4022/rtp/239.94.0.33:5140
CCTV5,http://182.149.148.252:4022/rtp/239.94.2.30:5140
CCTV5,http://182.149.148.252:4022/rtp/239.94.0.5:5140
