央视频道,#genre#
CCTV-1,https://proxy.rtsp.qzz.io/live/ch_5a35db9d
CCTV-1综合,https://live.rtsp.qzz.io/608807420
CCTV-2,https://proxy.rtsp.qzz.io/live/ch_5a35db9e
CCTV-3,https://proxy.rtsp.qzz.io/live/ch_5a35db9f
CCTV-4,https://proxy.rtsp.qzz.io/live/ch_5a35dba0
CCTV-5,https://live.rtsp.qzz.io/641886773
CCTV-5+,http://38.75.136.137:98/gslb/dsdqpub/cctv5p.m3u8?auth=testpub
CCTV-6,https://proxy.rtsp.qzz.io/live/ch_5a35dba2
CCTV-7,https://proxy.rtsp.qzz.io/live/ch_5a35dba3
CCTV-8,https://proxy.rtsp.qzz.io/live/ch_5a35dba4
CCTV-9,https://proxy.rtsp.qzz.io/live/ch_5a35dba5
CCTV-10,https://proxy.rtsp.qzz.io/live/ch_137a67cd
CCTV-11,https://proxy.rtsp.qzz.io/live/ch_137a67cc
CCTV-12,https://proxy.rtsp.qzz.io/live/ch_137a67cb
CCTV-13,https://proxy.rtsp.qzz.io/live/ch_45484691
CCTV-14,https://proxy.rtsp.qzz.io/live/ch_137a67c9
CCTV-15,https://proxy.rtsp.qzz.io/live/ch_137a67c8
CCTV-16,https://proxy.rtsp.qzz.io/live/ch_137a67c7
CCTV-17,https://proxy.rtsp.qzz.io/live/ch_137a67c6
CETV1,https://live.rtsp.qzz.io/923287154
CETV4,https://live.rtsp.qzz.io/923287339

央视付费频道,#genre#
CCTV-央视文化精品,http://107.150.60.122/live/ysjp.m3u8
CCTV-央视台球,http://38.75.136.137:98/gslb/dsdqpub/ystq.m3u8?auth=testpub
CCTV-风云音乐,http://38.75.136.137:98/gslb/dsdqpub/fyyy.m3u8?auth=testpub
CCTV-第一剧场,http://38.75.136.137:98/gslb/dsdqpub/dyjc.m3u8?auth=testpub
CCTV-风云剧场,http://38.75.136.137:98/gslb/dsdqpub/fyjc.m3u8?auth=testpub
CCTV-怀旧剧场,http://38.75.136.137:98/gslb/dsdqpub/hjjc.m3u8?auth=testpub
CCTV-女性时尚,http://38.75.136.137:98/gslb/dsdqpub/nxss.m3u8?auth=testpub
CCTV-高尔夫网球,http://38.75.136.137:98/gslb/dsdqpub/gefwq.m3u8?auth=testpub
CCTV-风云足球,http://38.75.136.137:98/gslb/dsdqpub/fyzq.m3u8?auth=testpub
CCTV-电视指南,http://38.75.136.137:98/gslb/dsdqpub/dszn.m3u8?auth=testpub
CCTV-世界地理,http://38.75.136.137:98/gslb/dsdqpub/sjdl.m3u8?auth=testpub
